src/app/campaign-members/[campaignId]/beneficiaries/page.tsx(5,104): error TS2305: Module '"@/firebase"' has no exported member 'SecurityRuleContext'.
src/app/campaign-members/[campaignId]/beneficiaries/page.tsx(10,32): error TS2307: Cannot find module '@/hooks/use-user-profile' or its corresponding type declarations.
src/app/campaign-members/[campaignId]/beneficiaries/page.tsx(136,29): error TS18047: 'beneficiaries' is possibly 'null'.
src/app/campaign-members/[campaignId]/beneficiaries/page.tsx(170,29): error TS18047: 'beneficiaries' is possibly 'null'.
src/app/campaign-members/[campaignId]/donations/page.tsx(5,104): error TS2305: Module '"@/firebase"' has no exported member 'SecurityRuleContext'.
src/app/campaign-members/[campaignId]/donations/page.tsx(10,32): error TS2307: Cannot find module '@/hooks/use-user-profile' or its corresponding type declarations.
src/app/campaign-members/[campaignId]/donations/page.tsx(130,26): error TS18047: 'donations' is possibly 'null'.
src/app/campaign-members/[campaignId]/donations/page.tsx(166,29): error TS18047: 'donations' is possibly 'null'.
src/app/campaign-members/[campaignId]/page.tsx(5,77): error TS2305: Module '"@/firebase"' has no exported member 'SecurityRuleContext'.
src/app/campaign-members/[campaignId]/page.tsx(323,49): error TS7016: Could not find a declaration file for module 'jspdf'. '/home/user/studio/node_modules/jspdf/dist/jspdf.node.min.js' implicitly has an 'any' type.
  Try `npm i --save-dev @types/jspdf` if it exists or add a new declaration (.d.ts) file containing `declare module 'jspdf';`
src/app/campaign-members/[campaignId]/summary/page.tsx(5,92): error TS2305: Module '"@/firebase"' has no exported member 'SecurityRuleContext'.
src/app/campaign-members/create/page.tsx(16,10): error TS2305: Module '"react-hook-form"' has no exported member 'useForm'.
src/app/campaign-members/create/page.tsx(17,10): error TS2305: Module '"@hookform/resolvers/zod"' has no exported member 'zodResolver'.
src/app/diagnostics/page.tsx(63,64): error TS2339: Property 'storageBucket' does not exist on type '{ projectId: string; appId: string; apiKey: string; authDomain: string; measurementId: string; messagingSenderId: string; }'.
src/app/diagnostics/page.tsx(68,41): error TS2339: Property 'storageBucket' does not exist on type '{ projectId: string; appId: string; apiKey: string; authDomain: string; measurementId: string; messagingSenderId: string; }'.
src/app/diagnostics/page.tsx(155,58): error TS2339: Property 'storageBucket' does not exist on type '{ projectId: string; appId: string; apiKey: string; authDomain: string; measurementId: string; messagingSenderId: string; }'.
src/app/diagnostics/page.tsx(156,84): error TS2339: Property 'storageBucket' does not exist on type '{ projectId: string; appId: string; apiKey: string; authDomain: string; measurementId: string; messagingSenderId: string; }'.
src/app/diagnostics/page.tsx(168,147): error TS2339: Property 'storageBucket' does not exist on type '{ projectId: string; appId: string; apiKey: string; authDomain: string; measurementId: string; messagingSenderId: string; }'.
src/app/diagnostics/page.tsx(189,111): error TS2339: Property 'storageBucket' does not exist on type '{ projectId: string; appId: string; apiKey: string; authDomain: string; measurementId: string; messagingSenderId: string; }'.
src/app/leads/create/page.tsx(16,10): error TS2305: Module '"react-hook-form"' has no exported member 'useForm'.
src/app/leads/create/page.tsx(17,10): error TS2305: Module '"@hookform/resolvers/zod"' has no exported member 'zodResolver'.
src/app/login/page.tsx(5,10): error TS2305: Module '"react-hook-form"' has no exported member 'useForm'.
src/app/login/page.tsx(6,10): error TS2305: Module '"@hookform/resolvers/zod"' has no exported member 'zodResolver'.
src/app/users/page.tsx(114,30): error TS18047: 'users' is possibly 'null'.
src/app/users/page.tsx(238,26): error TS18047: 'users' is possibly 'null'.
src/app/users/page.tsx(291,26): error TS18047: 'users' is possibly 'null'.
src/components/beneficiary-form.tsx(5,10): error TS2305: Module '"react-hook-form"' has no exported member 'useForm'.
src/components/beneficiary-form.tsx(6,10): error TS2305: Module '"@hookform/resolvers/zod"' has no exported member 'zodResolver'.
src/components/donation-form.tsx(5,10): error TS2305: Module '"react-hook-form"' has no exported member 'useForm'.
src/components/donation-form.tsx(6,10): error TS2305: Module '"@hookform/resolvers/zod"' has no exported member 'zodResolver'.
src/components/ui/form.tsx(11,3): error TS2305: Module '"react-hook-form"' has no exported member 'FormProvider'.
src/components/ui/form.tsx(12,3): error TS2305: Module '"react-hook-form"' has no exported member 'useFormContext'.
src/components/user-form.tsx(6,10): error TS2305: Module '"react-hook-form"' has no exported member 'useForm'.
src/components/user-form.tsx(7,10): error TS2305: Module '"@hookform/resolvers/zod"' has no exported member 'zodResolver'.
src/lib/firebase-admin-sdk.ts(30,38): error TS2554: Expected 0-1 arguments, but got 2.
